OFFICIAL_SUBURB,NUM_RES_PROP,MED_LAND_EXTENT/m2,MED_TOT_BLD_AREA/m2,GV2012_VAL,GV2015_VAL
LA CONCORDE,306,1292,401.5,3000000.00,3600000.00
LA MONTAGNE,84,619,267.5,2200000.00,2500000.00
LA ROCHELLE,302,722,245.5,1150000.00,1350000.00
LA SANDRA,122,1261,382,2790000.00,3300000.00
LABIANCE,271,729,198,900000.00,1100000.00
LAGOON BEACH,,,,,
LAKESIDE,1387,442,160,1260000.00,1600000.00
LAND EN ZEEZICHT,424,1090.5,295,1900000.00,2300000.00
LANGA,4304,191,54,233000.00,350000.00
LANGEBERG HOOGTE,323,501,181,1070000.00,1520000.00
LANGEBERG RIDGE,825,481,155,800000.00,1000000.00
LANGEBERG VILLAGE,66,1010,224,1400000.00,1800000.00
LANSDOWNE,4098,496,187,876000.00,1060000.00
LAVENDER HILL,1394,197,47,180000.00,250000.00
LEIDEN,6233,102,30,97000.00,105000.00
LENTEGEUR,6809,160,72,290000.00,340000.00
LEONSDALE,1042,142,65,410000.00,480000.00
LETRU,26,727,245,822000.00,1000000.00
LILLYDALE,46,334,111.5,710000.00,790000.00
LLANDUDNO,304,991,436.5,8500000.00,11000000.00
LOEVENSTEIN,901,1016,321,2000000.00,2400000.00
LONGDOWN ESTATE,44,1009.5,268.5,1335000.00,1575000.00
LOTUS RIVER,5115,442,134,540000.00,640000.00
LOUCHARMANTE,95,312,128,776500.00,920000.00
LOUMAR,46,763,196.5,845000.00,1000000.00
LOURENSIA PARK,212,153,39,180000.00,240000.00
LWANDLE,858,158,38,95000.00,105000.00
LYNN'S VIEW,425,984,271,1630000.00,1950000.00
MABILLE PARK,283,729,216,801000.00,1000000.00
MACASSAR,510,322.5,107,327500.00,370000.00
MACASSAR BEACH,15,803,188,380000.00,430000.00
MACASSAR VILLAGE,1261,123,36,91000.00,100000.00
MAITLAND,1003,358,153,624000.00,760000.00
MAITLAND GARDEN VILLAGE,237,275,57,400000.00,470000.00
MALIBU VILLAGE,1341,350,90,410000.00,460000.00
MALL INTERCHANGE,,,,,
MALL MOTOR CITY,,,,,
MALL TRIANGLE,,,,,
MALMESBURY FARMS,,,,,
MAMRE,1665,499,104,256000.00,240000.00
MANDELA PARK,5426,114,41,183000.00,200000.00
MANENBERG,3831,252,66,236000.00,280000.00
MANSFIELD INDUSTRIA,,,,,
MARCONI BEAM,,,,,
MARINDA PARK,121,617,147,800000.00,900000.00
MARTINVILLE,437,993,221,1420000.00,1600000.00
MARVINPARK,94,596,152,630000.00,710000.00
MATROOSFONTEIN,731,469,142,295000.00,460000.00
MEADOWRIDGE,819,818,224,2100000.00,2600000.00
MELKBOSCH STRAND,3125,704,269,1810000.00,2200000.00
METRO,,,,,
MEYERHOF,63,450,175,850000.00,980000.00
MFULENI,7318,114,38,90000.00,120000.00
MIKPUNT,100,4282,235,1100000.00,1300000.00
MIKRO PARK,153,791,221,971000.00,1250000.00
MILNERTON,1228,991,286,1690000.00,2200000.00
MILNERTON RIDGE,459,770,268,1610000.00,2100000.00
MISSION GROUNDS,217,567,147,294000.00,450000.00
MISTY CLIFFS,42,629,246,3200000.00,4450000.00
MITCHELLS PLAIN CBD,,,,,
MODDERDAM,30,335.5,154,670000.00,723600.00
MONTAGUE,,,,,
MONTAGUE GARDENS,,,,,
MONTANA,531,570,181,620000.00,730000.00
MONTANA EXTENSION,87,325,93,520000.00,640000.00
MONTCHERE,38,1185,389.5,2430000.00,2900000.00
MONTE SERENO,72,1030.5,322,1940000.00,2300000.00
MONTE VISTA,1389,694,250,1310000.00,1600000.00
MONTEVIDEO,137,405,155,570000.00,660000.00
MONWABISI,,,,,
MORGAN INDUSTRIA,,,,,
MORGANS VILLAGE,440,123,56,300000.00,410000.00
MORGENSTER,528,717,205,1010000.00,1150000.00
MORGENSTER HEIGHTS,726,741,220,1050000.00,1200000.00
MORNINGSIDE,66,1024,260,1760000.00,2000000.00
MORNINGSTAR,273,304,76,420000.00,480000.00
MOUILLE POINT,11,199,238,3500000.00,4100000.00
MOUNTAINSIDE,101,1190,315,1835000.00,2000000.00
MOUNTAINSIDE ESTATE,315,503,242,1270000.00,1450000.00
MOUNTAINSIDE EXT 2,72,991,273.5,1525000.00,1850000.00
MOUNTVIEW,414,485,163,750000.00,870000.00
MOWBRAY,807,418,186,1500000.00,1950000.00
MUIZENBERG,3475,270,132,850000.00,1000000.00
MXOLISI PHETANI,2632,107,42,187000.00,168000.00
N1-STAD,,,,,
NATURES VALLEY,30,1077.5,247.5,1435500.00,1825000.00
NATURE'S VALLEY,35,1012,259,1700000.00,2000000.00
NERINA,157,1072,269,1600000.00,1900000.00
NEW MACASSAR,395,276,78,289000.00,320000.00
NEW SCHEME,267,340,114,310000.00,350000.00
NEW WOODLANDS,1773,204,72,290000.00,340000.00
NEWFIELDS,890,519,205,720000.00,850000.00
NEWLANDS,1863,663,297,3550000.00,4900000.00
NIEUW MAASTRECHT-1,,,,,
NIEUW MAASTRECHT-2,,,,,
NOMZAMO,2215,171,23,80000.00,90000.00
NONQUBELA,3231,90,43,176000.00,200000.00
NOOITGEDACHT,403,325,94,360000.00,450000.00
NOORDHOEK,1411,1040,324,2781500.00,3350000.00
NORMANDIE ESTATE,294,240,108.5,700000.00,970000.00
NORTHGATE,59,748,262,1490000.00,1750000.00
NORTHPINE,2327,312,128,531000.00,600000.00
NUTWOOD,42,1508.5,460,3140000.00,4000000.00
NYANGA,6372,194,48,219000.00,250000.00
OAKDALE,1228,496,187,890000.00,1100000.00
OAKDENE,198,699.5,262,755000.00,860000.00
OAKGLEN,955,640,173,1060000.00,1200000.00
OBSERVATORY,1823,218,129,1130000.00,1500000.00
OCEAN VIEW,2218,206,75,287000.00,380000.00
OKAVANGO PARK,,,,,
O'KENNEDYVILLE,11,993,222,1410000.00,1700000.00
OLIVE GROVE,118,703.5,244.5,1700000.00,1950000.00
ONVERWACHT,927,627,185,940000.00,1160000.00
ONVERWACHT (Gordons Bay),193,301,132,870000.00,870000.00
ONVERWACHT VILLAGE,2,339.5,216,,1400000.00
OOSTERZEE-BELLVILLE,249,744,230,1140000.00,1400000.00
ORANJEZICHT,720,568.5,311,4625000.00,5450000.00
OTTERY,3466,496,175,849000.00,1050000.00
OUDE WESTHOF,360,707,313.5,2135000.00,2850000.00
OUDEKRAAL,,,,,
PAARDE VLEI,108,441,154.5,590000.00,660000.00
PAARDEN EILAND,,,,,
PAARL FARMS,,,,,
PANORAMA,657,808,271,1590000.00,1900000.00
PAREL VALLEI,439,1288,334,2350000.00,2750000.00
PARELVALLEI KLEINHOEWES,29,1791,450,3800000.00,4600000.00
PARKLANDS,6246,347,162,1010000.00,1200000.00
PARKWOOD,364,496,168,531000.00,640000.00
PAROW,304,496,165,820000.00,880000.00
PAROW EAST,,,,,
PAROW GOLF COURSE,17,450,225,1200000.00,1450000.00
PAROW INDUSTRIA,2,139,122,445000.00,525000.00
PAROW NORTH,822,763,266,1320000.00,1600000.00
PAROW VALLEY,1118,496,164.5,730000.00,860000.00
PEACOCK CLOSE,133,350,130,543000.00,660000.00
PEARL MARINA,87,1239,333,2150000.00,2500000.00
PEARL RISE,83,2037,344,2170000.00,2600000.00
PEERLESS PARK EAST,735,496,168,595000.00,680000.00
PEERLESS PARK NORTH,636,496,193.5,634000.00,720000.00
PEERLESS PARK WEST,415,496,166,564000.00,660000.00
PELIKAN HEIGHTS,268,921.5,317.5,1190000.00,1400000.00
PELIKAN PARK,2229,142,43,375500.00,350000.00
PELLA,154,799.5,113.5,162000.00,310000.00
PENHILL,181,2096,289,1475000.00,1750000.00
PENLYN ESTATE,607,497,188,1000000.00,1200000.00
PETROSA TANK FARM,,,,,
PHILADELPHIA,114,690,265.5,1210000.00,1775000.00
PHILIPPI,18683,160,31,85000.00,100000.00
PHILIPPI PARK,1,717,90,120000.00,300000.00
PHOENIX,825,161,60,430000.00,470000.00
PINATI,650,294,116,239000.00,320000.00
PINEHURST,1850,498.5,183,1340000.00,1600000.00
PINELANDS,3073,853,276,1950000.00,2600000.00
PLATTEKLOOF 1,138,1224,490,2400000.00,3265000.00
PLATTEKLOOF 2,365,1160,492,3100000.00,3920000.00
PLATTEKLOOF 3,458,1000,372,2300000.00,3230000.00
PLATTEKLOOF GLEN,740,409,154,1150000.00,1400000.00
PLUMSTEAD,3905,496,188,1180000.00,1500000.00
PORTLAND,4761,207,106,410000.00,480000.00
PROTEA HEIGHTS,2633,731,194,1095000.00,1350000.00
PROTEA PARK,1768,259,74,240000.00,280000.00
PROTEA VILLAGE,662,264,98,660000.00,770000.00
PROTEAVALLEY,698,891.5,294.5,2020000.00,2400000.00
PROTEAVILLE,52,2007,375.5,2250000.00,2800000.00
RACING PARK,,,,,
RAVENSMEAD,2524,357,133,510000.00,600000.00
RETREAT,3923,428,130,585000.00,690000.00
RICHMOND,101,495,183,910000.00,1100000.00
RICHMOND ESTATE,837,496,199,830000.00,1050000.00
RICHMOND PARK,,,,,
RICHWOOD,1042,458,128,710000.00,900000.00
RIDGEWORTH,428,860.5,279.5,1450000.00,1750000.00
RIVERGATE,,,,,
RIVERSIDE,927,184,50,200000.00,220000.00
RIVERTON ELSIES RIVER,410,496.5,187.5,520000.00,640000.00
ROBINVALE,1349,235,72,240000.00,280000.00
ROCKLANDS,5402,180,82,305000.00,360000.00
ROME GLEN,215,1064,332,2080000.00,2500000.00
RONDEBOSCH,3047,694,268,2649999.00,3500000.00
RONDEBOSCH EAST,992,496,195,1120000.00,1350000.00
RONDEVLEI PARK,870,260,76,460000.00,490000.00
ROOSENDAL,2267,242,47,216000.00,240000.00
ROSEBANK,404,510,227,2285000.00,2900000.00
ROSEDALE,2403,257,72,378000.00,430000.00
ROSENDAL,200,924.5,328,2016000.00,2500000.00
ROSENPARK,,,,,
ROTTERDAM,,,,,
ROUNDHAY,88,1022,281.5,1500000.00,1740000.00
ROUXVILLE,508,738.5,251,1099000.00,1400000.00
ROYAL ASCOT,714,257,153,1406500.00,1900000.00
RUGBY,559,461,138,670000.00,810000.00
RUITERSHOOGTE,129,937,321,2267000.00,2900000.00
RUSTDAL,324,743.5,208,825000.00,1000000.00
RUWARI,250,819,184,932000.00,1350000.00
RUYTERWACHT,1873,466,100,590000.00,720000.00
RYLANDS,859,496,253,1100000.00,1350000.00
SABATA DALINDYEBO SQUARE,859,157,36,73000.00,95275.00
SACK'S CIRCLE INDUSTRIA,,,,,
SALT RIVER,749,150,107,495000.00,670000.00
SAND INDUSTRIA,,,,,
SANDDRIFT,768,532,140,880000.00,1000000.00
SANDOWN,,,,,
SANDVLEI,,,,,
SANLAMHOF,,,,,
SAREPTA,1473,316,95,412000.00,480000.00
SAXENBURG PARK 1,,,,,
SAXENBURG PARK 2,,,,,
SAXON INDUSTRIAL,,,,,
SAXONSEA,2463,290,78,240000.00,280000.00
SAXONWOOD,,,,,
SCARBOROUGH,499,496,199,1590000.00,2150000.00
SCHONENBERG,499,486,261,2100000.00,2560000.00
SCHOONGEZICHT,154,1230,295,1800000.00,2100000.00
SCHOTSCHEKLOOF,718,133,145,1400000.00,1900000.00
SCOTTSDENE,3041,220,70,439000.00,480000.00
SCOTTSVILLE,1452,495,119.5,452000.00,510000.00
SEA BREEZ PARK,59,291,104,670000.00,730000.00
SEA POINT,787,332,222,3485000.00,4300000.00
SEAWINDS,1923,176,74,210000.00,300000.00
SELBORNE,99,503,246,1908000.00,2300000.00
SERCOR PARK,837,240,45,176000.00,200000.00
SHERWOOD,1137,286,72,240000.00,280000.00
SHIRLEY PARK,106,713.5,180.5,800000.00,1000000.00
SIGNAL HILL / LIONS HEAD,9,679,372,5000000.00,7100000.00
SILVEROAKS,406,777.5,201,870000.00,1050000.00
SILVERSANDS,1487,146,72,450000.00,510000.00
SILVERTAS,40,552,138.5,560000.00,620000.00
SILVERTOWN,1070,331,100,490000.00,600000.00
SILWERBOOMKLOOF,8,4954.5,1304,5500000.00,7650000.00
SILWERTOWN,,,,,
SIMON'S TOWN,1142,532.5,233.5,2450000.00,3000000.00
SIR LOWRYS PASS,71,190,46,90000.00,100000.00
SIR LOWRYS PASS VILLAGE CENTRE,16,793,216,343500.00,600000.00
SIRROCCO'S,79,272,99,670000.00,800000.00
SITARI COUNTRY ESTATE,43,456,225,450000.00,2330000.00
SMARTIE TOWN,81,180,29,152000.00,170000.00
SMITSWINKELBAAI,25,497,142,1790000.00,2000000.00
SOMERSET FOREST,31,400,155,580000.00,650000.00
SOMERSET RIDGE,666,297,140,1100000.00,1250000.00
SOMERSET WEST,352,527.5,206,1305000.00,1480000.00
SOMERSET WEST BUSINESS PARK,,,,,
SOMERSET WEST COUNTRY CLUB,,,,,
SOMERSET WEST NATURE RESERVE,6,2575,568,4084000.00,4550000.00
SONEIKE I,245,1034,294,1165000.00,1400000.00
SONEIKE II,755,533,188,945000.00,1100000.00
SONKRING,486,551,218,1247500.00,1550000.00
SONNEKUIL,330,382,154,765000.00,920000.00
SONNENDAL,121,998,305,1710000.00,2000000.00
SONSTRAAL,451,1107,331,2000000.00,2400000.00
SONSTRAAL HEIGHTS,2134,352,156,1281000.00,1540000.00
SOUTHFIELD,1522,496,165,800000.00,970000.00
SOUTHFORK,300,405,170.5,640000.00,715000.00
SPANISH FARM,105,2064,557,4700000.00,5850000.00
SPRINGBOKPARK,123,595,171,960000.00,1100000.00
SPRINGFIELD,,,,,
ST DUMAS,391,556,189,851000.00,1050000.00
ST JAMES,197,563,298,3912500.00,5000000.00
ST MICHAELS,108,715.5,207.5,1030000.00,1200000.00
STEENBERG,3670,293,106,340500.00,450000.00
STEENBRAS VIEW,38,1901.5,409,2410000.00,2850000.00
STELLENBERG,795,940,269,1430000.00,1700000.00
STELLENBOSCH FARMS,2,94456.5,1722,12178250.00,13090000.00
STELLENBOSCH FARMS (BLUE DOWNS),,,,,
STELLENBOSCH FARMS (KUILSRIVIER),87,288,124,797000.00,920000.00
STELLENBOSCH UNIV,,,,,
STELLENDALE,377,190,77,520000.00,620000.00
STELLENRIDGE,408,624,209,1220000.00,1450000.00
STELLENRYK,320,877,272,1430000.00,1700000.00
STIKLAND,,,,,
STIKLAND HOSPITAAL,,,,,
STIKLAND INDUSTRIA,,,,,
STRAND,6450,494,182,806000.00,980000.00
STRAND GOLF CLUB,,,,,
STRAND INDUSTRIA,3,495,191,720000.00,770000.00
STRANDFONTEIN,6051,285,129,500000.00,610000.00
STRANDVALE,207,616,217,1130000.00,1340000.00
STUART'S HILL,135,972,277,1550000.00,1850000.00
SUMMER GREENS,1533,239,97,570000.00,680000.00
SUMMERVILLE,43,587,149,489000.00,540000.00
SUN CITY,573,164,24,90000.00,100000.00
SUNBIRD PARK,471,472,172,495000.00,614000.00
SUNNINGDALE,3327,396,158,1150000.00,1380000.00
SUNNYDALE,2029,216,73,320000.00,550000.00
SUNRIDGE,375,704,197,1100000.00,1265000.00
SUNSET BEACH,777,723,407,3513000.00,4200000.00
SUNVALLEY,663,679,157,870000.00,1220000.00
SURREY,1431,489,215,954000.00,1150000.00
SYBRAND PARK,377,595,201,1250000.00,1450000.00
TABLE MOUNTAIN,,,,,
TABLE VIEW,4267,618,200,1200000.00,1400000.00
TAFELSIG,8018,216,67,231000.00,270000.00
TAMBOERSKLOOF,629,440,248,3700000.00,4600000.00
TEMPERANCE TOWN,200,139,40,120000.00,135000.00
THE CONIFERS,355,303,89,345000.00,431000.00
THE CREST,462,840,177,1300000.00,1550000.00
THE HAGUE,1398,242,36,189000.00,210000.00
THE LINK,113,952,316,1710000.00,2000000.00
THE RANGE,206,311,105,450000.00,530000.00
THE STABLES,,,,,
THEMBOKWEZI,1138,315,82,370000.00,430000.00
THORNTON,1334,595,170,950000.00,1200000.00
THREE ANCHOR BAY,167,258,208,2840000.00,3700000.00
TIJGERHOF,651,823,212,1200000.00,1450000.00
TOKAI,1724,922,283,2700000.00,3300000.00
TOWNSEND ESTATE,1604,495,205,850000.00,1065000.00
TRANSNET MARSHALLING YARD,1,6656,337,578798.00,800000.00
TRE DONNE,74,3271.5,344.5,1905000.00,2400000.00
TRIANGLE FARM,,,,,
TURTLE CREEK,224,273,118,638000.00,740000.00
TUSCANY GLEN,639,357,147,530000.00,620000.00
TYGERBERG HOSPITAL,,,,,
TYGERDAL,781,587,202,1160000.00,1450000.00
TYGERVALLEY,,,,,
TYGERVALLEY WATERFRONT,,,,,
UITSIG,1494,269,46,400000.00,470000.00
UITZICHT,1462,580,180,1120000.00,1400000.00
UMRHABULO TRIANGLE,5977,160,43,155000.00,200000.00
UWC,,,,,
VALHALLA PARK,1769,133,66,170000.00,200000.00
VALMARY PARK,176,1920.5,382.5,2800000.00,3200000.00
VAN DER STEL,362,496,171,980000.00,1000000.00
VAN RIEBEECKSHOF,561,401,235,2100000.00,2500000.00
VANGUARD,486,515,184,666500.00,850000.00
VASCO ESTATE,1418,495,195,850000.00,1050000.00
VERGESIG,260,1000,275,1910500.00,2300000.00
VICTORIA MXENGE,4018,90,45,168000.00,193800.00
VICTORIA PARK,489,270,91,580000.00,650000.00
VIERLANDEN,774,1004,303,2000000.00,2500000.00
VIKING VILLAGE,294,350,126,696000.00,910000.00
VOELVLEI,252,496,216.5,654000.00,740000.00
VOGELVLEI,,,,,
VOORBRUG,2078,242,54,240000.00,270000.00
VREDEHOEK,1057,350,198,2700000.00,3400000.00
VREDEKLOOF,1119,589,187,1250000.00,1450000.00
VREDEKLOOF EAST,657,298,106,700000.00,891000.00
VREDEKLOOF HEIGHTS,206,517.5,203,1173500.00,1450000.00
VREDELUST BELLVILLE,282,643,239,1180000.00,1400000.00
VREDELUST KUILS RIVER,212,302,141,680500.00,830000.00
VREDENBERG,429,673,188,916000.00,1100000.00
VREDENZICHT,30,501,369.5,2010000.00,3490000.00
VRYGROND,1256,189,26,67000.00,180000.00
VYGEBOOM,184,1103.5,436,3050000.00,3850000.00
WAIROA,44,754,271,1900000.00,2250000.00
WALLACEDENE,5988,96,40,120000.00,117000.00
"WATERKLOOF, DE BRON EXT 44",434,700,190,1380000.00,1600000.00
WEDDERWILL ESTATE,66,2123,396.5,3550000.00,4050000.00
WELCOME,375,434,179,690000.00,820000.00
WELGEDACHT,519,1040,400,4000000.00,5000000.00
WELGELEGEN,1241,801,270,1537000.00,2000000.00
WELGEMOED,907,1319,389,2700000.00,3270000.00
WELGEVONDEN,168,627,254.5,1700000.00,2275000.00
WELLWAY PARK,55,1261,313,1800000.00,2200000.00
WELLWAY PARK EAST,257,1014,251,1331000.00,1700000.00
WELMOED CEMETERY,,,,,
WELTEVREDEN VALLEY,150,167,91,431000.00,470000.00
WEMBLEY PARK,85,364,122,444000.00,520000.00
WESBANK,4755,119,26,88000.00,99000.00
WESFLEUR,,,,,
WEST BEACH,824,590,249,1658500.00,1900000.00
WEST RIDING,243,704,198,1100000.00,1300000.00
WESTERDALE,,,,,
WESTGATE,652,326,111,470000.00,540000.00
WESTLAKE,1104,198,68,270000.00,340000.00
WESTRIDGE,4253,200,107,430000.00,480000.00
WETTON,1010,510,163,829000.00,1000000.00
WILDWOOD,114,440.5,177,530000.00,625000.00
WIMBLEDON ESTATE,922,114,43,250000.00,280000.00
WINDERMERE,1746,284.5,79,220000.00,330000.00
WINDSOR ESTATE,1155,659,190,761000.00,930000.00
WINDSOR PARK ESTATE,1539,337,127,700500.00,860000.00
WINGFIELD,,,,,
WINSLOW,134,615,226,955000.00,1150000.00
WITSAND,370,120,35,75000.00,82000.00
WOODLANDS,1836,200,86,315000.00,370000.00
WOODSTOCK,2899,197,131,910000.00,1250000.00
WORLD'S VIEW,29,1498,315,2770000.00,3400000.00
WP PARK,,,,,
WP SHOWGROUNDS,,,,,
WYNBERG,2411,391,171,940000.00,1100000.00
WYNBERG NU,,,,,
WYNLAND INDUSTRIAL PARK,,,,,
YSTERPLAAT,,,,,
ZEEKOEIVLEI,814,650.5,221.5,910000.00,1100000.00
ZEVENDAL,189,541,283,1620000.00,1850000.00
ZEVENWACHT COUNTRY ESTATE,66,825,438,2234000.00,3450000.00
ZEVENWACHT FARM VILLAGE,,,,,
ZEVENWACHT MALL,,,,,
ZEVENWACHT RETIREMENT VILLAGE,4,704,206,,2765000.00
ZEVENZICHT,154,510,203,1380000.00,1650000.00
ZONNEBLOEM,301,154,108,750000.00,810000.00
ZOO PARK,374,546.5,185,770000.00,930000.00
